Title,Place,Land Size,PublishDate,Price
Land On Sale Tarkeshor Nagarpalika Jarannku Main Road,Kathmandu > Tarkeshwar  ,  Land Size (in aana/dhur): 26.2,31-12-2021,"Rs. 43,00,000"
Land On Sale,Chitwan > Ratnanagar / Tandi, ,24-12-2021,"Rs. 28,00,000"
Land For Sale Jagga Bikrima At Kapan,Kathmandu > Kapan, ,08-12-2021,"Rs. 43,00,000"
Chapagau Land On Sale,Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): Aana,04-12-2021,"Rs. 11,00,000"
Land On Sale At Dhukuchap,Lalitpur > Dukuchap (Karyabinayak), ,29-11-2021,"Rs. 11,50,000"
Timberland Leather Chest Guard,, ,24-11-2021,Rs. 400
Land For Sale For Resiident,Bhaktapur > Balkot (Ananta)  ,  Land Size (in aana/dhur): 3,23-11-2021,"Rs. 27,00,000"
Land For Sale,Kathmandu > Makalbari (Jorpati)  ,  Land Size (in aana/dhur): 4,12-11-2021,"Rs. 30,75,000"
Commercial Land For Urgent Sale In Thankot Kharibot Prithivi Highway,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 3.5,28-09-2021,"Rs. 26,00,000"
Land In Sell,Bhaktapur > Sipadol (Suryabinayak)  ,  Land Size (in aana/dhur): 5,20-09-2021,"Rs. 26,50,000"
Land For Rent/ Lease,Kathmandu > Teku  ,  Land Size (in aana/dhur): 7.5,01-08-2021,"Rs. 70,000"
Land On Sale,Lalitpur > Chapagaun (Bajrabarahi), ,23-12-2021,"Rs. 12,50,000"
Land At Sale,Bhaktapur > Chitapol (Suryabinayak)  ,  Land Size (in aana/dhur): 3,12-12-2021,"Rs. 15,50,000"
Attractive Land For Sale,Lalitpur > Lele (Bajrabarahi)  ,  Land Size (in aana/dhur): 10 A,11-12-2021,"Rs. 12,25,000"
Land On Sale,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3.25,03-12-2021,"Rs. 40,00,000"
Land Sale In Chapagau,Lalitpur > Chapagaun (Bajrabarahi), ,08-11-2021,"Rs. 13,00,000"
Lamachaur Land,Kaski (Pokhara) > Lamachaur (Outskirt), ,04-11-2021,"Rs. 20,00,000"
Land For Sale -pokhara,Kaski (Pokhara) > Ram Bazar  ,  Land Size (in aana/dhur): 52ha,28-08-2021,"Rs. 12,00,000"
"Land For Sale In Ramkot, Dadapauwa",Kathmandu > Ramkot (Nagarjun), ,28-03-2021,"Rs. 25,00,000"
Land For Rent At Sitapaila,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 18,16-11-2019,"Rs. 65,000"
Land For Sale At Chardobato Bhaktpur,Bhaktapur > Naya Thimi  ,  Land Size (in aana/dhur): 5,31-12-2021,"Rs. 44,00,000"
Yati Awas Chagathali Land On Sale,Lalitpur > Lubhu (Mahalaxmi)  ,  Land Size (in aana/dhur): 4,20-12-2021,"Rs. 32,00,000"
Mhepi Land On Sell,Kathmandu > Mhepi  ,  Land Size (in aana/dhur): 3,14-12-2021,"Rs. 65,00,000"
Land For Sales 6.,Lalitpur > Bagdol  ,  Land Size (in aana/dhur): 0-6-,08-12-2021,"Rs. 45,00,000"
Biratnagar.. Duhabi Land Sale .. Urgent,Sunsari > Duhabi, ,02-12-2021,"Rs. 3,00,000"
2 Floor House And Land For Sale,Kathmandu > Nayapati (Gokarneshwar)  ,  Land Size (in aana/dhur): 5.1,02-12-2021,"Rs. 2,45,00,000"
Urgent Residential Land For Sale At Godawari,Lalitpur > Godawari  ,  Land Size (in aana/dhur): 4.5,25-11-2021,"Rs. 20,00,000"
Land On Parbatipur Chitwan,Chitwan (Bharatpur) > Patihani  ,  Land Size (in aana/dhur): 10 K,08-11-2021,"Rs. 30,00,000"
Land + House In Sale,Morang > Pathari  ,  Land Size (in aana/dhur): 1 Ka,25-10-2021,"Rs. 85,00,000"
1 Flat House In 3 Aana Of Land,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 3,03-10-2021,"Rs. 1,50,00,000"
Land Sale In Dhading,Dhading > Dhunibeshi  ,  Land Size (in aana/dhur): 32,13-09-2021,"Rs. 1,00,000"
"Land For Sale; ; 12 ,",Kathmandu > Hattigaunda (Budhanilkantha)  ,  Land Size (in aana/dhur): 12,04-01-2022,"Rs. 47,00,000"
Jharuwarasi Plotted Land For Sale,Lalitpur > Jharuwarasi (Bajrabarahi)  ,  Land Size (in aana/dhur): 4.1,24-12-2021,"Rs. 20,50,000"
Land For Sale,Kathmandu > Shorakhutte, ,16-12-2021,"Rs. 1,28,00,000"
Land For Sales,Makwanpur (Hetauda) > Ratomate, ,13-12-2021,"Rs. 3,10,65,000"
Land Sale On Kaversthali,Kathmandu > Kavresthali (Tarkeshwar), ,02-12-2021,"Rs. 23,00,000"
Voigtlander Bessa R3a With Nokton 40mm 1.4,, ,02-12-2021,"Rs. 90,000"
"Attractive Land On Sale At Bharatpur-26, Chitwan",Chitwan (Bharatpur) > Bharatpur (Other Area)  ,  Land Size (in aana/dhur): 110,02-12-2021,"Rs. 15,00,000"
Dakshinkali Pharping Saukhel Land At Very Good Rate,Kathmandu > Dakshinkali  ,  Land Size (in aana/dhur): 12,28-11-2021,"Rs. 15,00,000"
Land Sales In Bhaktapur,Bhaktapur > Palanse  ,  Land Size (in aana/dhur): 24,08-11-2021,"Rs. 12,00,000"
Land For Sale At Karve Jaisithok Vdc 2,Kavrepalanchok > Kavrepalanchok (Other Area)  ,  Land Size (in aana/dhur): 96,26-09-2021,"Rs. 30,000"
Land At Anamnagar On Sale,Kathmandu > Anamnagar  ,  Land Size (in aana/dhur): 8.2.,17-09-2021,"Rs. 78,00,000"
Land For Sale,Kaski (Pokhara) > Majheripatan (Outskirt), ,29-07-2021,"Rs. 35,00,000"
Land In Pasikot,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 6.51,05-01-2022,"Rs. 42,00,000"
Land Sell Offer,Kathmandu > Thankot (Chandragiri)  ,  Land Size (in aana/dhur): 3,05-01-2022,"Rs. 70,00,000"
Kalikasthan Land Sale,Kathmandu > Kalikasthan (Dillibazar), ,24-12-2021,"Rs. 4,50,00,000"
2 Ropani Land On Namobuddha Road,Kavrepalanchok > Panauti, ,11-12-2021,"Rs. 3,50,000"
We Are Looking Land 6 To 8 Ana Nearby 5 Minute Distance Form Ringroad,Kathmandu > Airport  ,  Land Size (in aana/dhur): 8,05-12-2021,"Rs. 60,00,000"
Land For Sale Near Naikap Football Ground,Kathmandu > Purano Naikap (Chandragiri)  ,  Land Size (in aana/dhur): 4,23-11-2021,"Rs. 27,00,000"
3.5 Aana Commercial Land For Sale At Panipokhari Kathmandu,Kathmandu > Panipokhari  ,  Land Size (in aana/dhur): 3.5,28-10-2021,"Rs. 2,00,00,000"
5 Aana Land At Gyaneshwor,Kathmandu > Gyaneshwar  ,  Land Size (in aana/dhur): 5,16-08-2021,"Rs. 1,10,00,000"
Land For Sale At Radhe Radhe Thimi,Bhaktapur > Radhe Radhe  ,  Land Size (in aana/dhur): 2.5,07-01-2022,"Rs. 22,00,000"
18 Aana Land For Sale In Boudha,Kathmandu > Boudha, ,23-11-2021,"Rs. 75,00,000"
"Bugamati, Farsidol Plotting Land On Sale.",Lalitpur > Bungamati (Karyabinayak)  ,  Land Size (in aana/dhur): 5,29-10-2021,"Rs. 28,50,000"
Land For Sale,Kathmandu > Tokha Chandeshwari (Tokha), ,27-10-2021,"Rs. 37,00,000"
5 Aana Land At Chalnakhel (dakshinkali Janey Bato).,Kathmandu > Chalnakhel (Dakshinkali)  ,  Land Size (in aana/dhur): 5,22-10-2021,"Rs. 15,00,000"
Land On Sale At Harisiddhi,Lalitpur > Harisiddhi  ,  Land Size (in aana/dhur): 6.5,22-09-2021,"Rs. 21,00,000"
Land Lamatar,Lalitpur > Lamatar (Mahalaxmi)  ,  Land Size (in aana/dhur): 4 Aa,20-09-2021,"Rs. 22,50,000"
Land Sell In Jhapa,Jhapa > Birtamod, ,08-05-2021,"Rs. 10,00,000"
26 Ana Land In Tokha,Kathmandu > Tokha, ,30-12-2021,"Rs. 25,00,000"
Ring Road Land On Sale,Morang (Biratnagar) > Biratnagar (Other Area), ,27-12-2021,"Rs. 2,00,00,000"
"Land For Sale; Dharapati, Chakrapat",Kathmandu > Bansbari  ,  Land Size (in aana/dhur): 6.3,25-12-2021,"Rs. 55,00,000"
"22 Ana Commercial Land On Sale In Old Baneshwor, Kathmandu",Kathmandu > Purano Baneshwor (Old Baneshwor)  ,  Land Size (in aana/dhur): 22,20-12-2021,"Rs. 1,35,00,000"
Land Sale,Kathmandu > Purano Naikap (Chandragiri), ,12-12-2021,"Rs. 26,00,000"
1 Ropani Land Inside Bhaisepati Awas,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 16,12-12-2021,"Rs. 1,18,00,000"
Land For Sale On Reasonal,Chitwan > Rapti, ,02-12-2021,"Rs. 1,00,000"
"Sallaghari, Katunje - 1, Plotting Land For Sale",Bhaktapur > Sallaghari  ,  Land Size (in aana/dhur): 4,30-11-2021,"Rs. 37,00,000"
Land For Sale Pharping,Kathmandu > Pharping (Dakshinkali)  ,  Land Size (in aana/dhur): 16,24-11-2021,"Rs. 7,00,000"
22 Ana Perfect Land To Build Hotel In Lakeside Hotel Meera Galli,Kaski (Pokhara) > Lakeside  ,  Land Size (in aana/dhur): 22,28-09-2021,"Rs. 20,00,00,000"
4ana Land Imadol,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 4,23-09-2021,"Rs. 35,00,000"
19 Aanas Land In Mulpani,Kathmandu > Mulpani (Kageshwor)  ,  Land Size (in aana/dhur): 19,08-09-2021,"Rs. 31,00,000"
Land Sell At Dahachok,Kathmandu > Dahachok (Chandragiri)  ,  Land Size (in aana/dhur): 7.5,01-12-2021,"Rs. 14,50,000"
Around Eight 8 Katta Land In Bhairahawa,Rupandehi (Bhairahawa) > Bhairahawa (Other Area), ,25-11-2021,"Rs. 16,00,000"
Urgent Land Sale,Nawalpur > Kawasoti, ,21-11-2021,"Rs. 6,00,000"
9 Anna Land On Sale At Sanepa At 60 Lakhs Per Anna,Lalitpur > Sanepa  ,  Land Size (in aana/dhur): 9,14-11-2021,"Rs. 60,00,000"
Roland Xps 10,, ,29-10-2021,"Rs. 80,000"
"1 Ropani Land For Rent - Boudha, Simaltar",Kathmandu > Boudha  ,  Land Size (in aana/dhur): 16,04-10-2021,"Rs. 30,000"
Jagga Bikrima_ Land For Sale (kapan),Kathmandu > Akasedhara (Kapan)  ,  Land Size (in aana/dhur): 6,30-09-2021,"Rs. 33,00,000"
Land Is Very Suitable For Residental Purpose,Kathmandu > Ichangu Narayan (Nagarjun)  ,  Land Size (in aana/dhur): 3.2.,26-09-2021,"Rs. 18,50,000"
For Sale - Land In Pharping (on Way To Dakshinkali Mandir),Kathmandu > Pharping (Dakshinkali)  ,  Land Size (in aana/dhur): 62,26-09-2017,"Rs. 3,50,000"
3 Ropani Excellent Land On Sale At Lele Height,Lalitpur > Lele (Bajrabarahi)  ,  Land Size (in aana/dhur): 48,03-01-2022,"Rs. 4,50,000"
"Dharan,10.5 Dhoor Land, 30 Ft Pitched Road On Sale.",Sunsari (Dharan) > Dharan (Other Area)  ,  Land Size (in aana/dhur): 10.5,01-01-2022,"Rs. 6,00,000"
1 Ropani Land For Sale At Dhobighat,Lalitpur > Dhobighat  ,  Land Size (in aana/dhur): 16,28-12-2021,"Rs. 60,00,000"
Land For Sale In Bright And Elevated Space In Godawari,Lalitpur > Badegaun (Godawari)  ,  Land Size (in aana/dhur): 4-10,22-12-2021,"Rs. 30,00,000"
Want To Buy Land In Kathmandu,Kathmandu > Kavresthali (Tarkeshwar), ,18-12-2021,"Rs. 10,00,000"
"Semi-commercial Land On Sale At Sukedhara, Kathmandu.",Kathmandu > Sukedhara  ,  Land Size (in aana/dhur): 5 A,16-12-2021,"Rs. 68,00,000"
Land For Sale,Lalitpur > Badikhel (Godawari), ,15-12-2021,"Rs. 14,50,000"
Land On Sale Chitwan District,Chitwan (Bharatpur) > Bharatpur  ,  Land Size (in aana/dhur): 110,15-12-2021,"Rs. 15,00,000"
Land On Sale At Sankhu Palubari 9841623036,Kathmandu > Sankhu (Shankharapur)  ,  Land Size (in aana/dhur): 57,14-12-2021,"Rs. 5,50,000"
Affordable Land In Satdobato Lagankhel,Lalitpur > Lagankhel  ,  Land Size (in aana/dhur): 4.5,08-12-2021,"Rs. 67,50,000"
10 Aana Land On Sale At Dhobighat Lalitpur.,Lalitpur > Dhobighat, ,07-12-2021,"Rs. 43,00,000"
Land Sale,Kathmandu > Thali (Kageshwor), ,06-12-2021,"Rs. 22,50,000"
3 Anna Land At Nepaltar,Kathmandu > Nepaltar (Tarkeshwar)  ,  Land Size (in aana/dhur): 3,01-12-2021,"Rs. 31,00,00,000"
"Urgent Sale Land On Chitwan, Madi",Chitwan > Madi  ,  Land Size (in aana/dhur): 280,21-11-2021,"Rs. 75,000"
2.5 Ropani Land On Rent In Tokha,Kathmandu > Dhapasi (Tokha)  ,  Land Size (in aana/dhur): 40,12-11-2021,"Rs. 2,50,000"
"Land On Sale At J.p. Road, Thamel",Kathmandu > Paknajol (Thamel)  ,  Land Size (in aana/dhur): 6.80,12-11-2021,"Rs. 11,50,00,000"
"11 Dhur Land In Yagapuri, Bharatpur.",Chitwan (Bharatpur) > Bharatpur (Other Area)  ,  Land Size (in aana/dhur): 11,28-09-2021,"Rs. 5,90,000"
House On Sale In Greenland Dhapasi,Kathmandu > Dhapasi (Tokha), ,15-09-2021,"Rs. 3,70,00,000"
Land On Sale Banepa-6 9860643329,Kavrepalanchok > Banepa  ,  Land Size (in aana/dhur): 2.9,13-09-2021,"Rs. 2,50,000"
Land For Sale,Rupandehi (Butwal) > Butwal (Other Area), ,19-08-2021,"Rs. 14,00,000"
Urgent Land For Sale In Gokarna,Kathmandu > Gokarna (Gokarneshwar)  ,  Land Size (in aana/dhur): 5.5,27-12-2021,"Rs. 24,00,000"
Land On Sale Bhaktapur Suryabinayak,Bhaktapur > Suryabinayak  ,  Land Size (in aana/dhur): 2.32,18-12-2021,"Rs. 45,00,000"
Land On Sale,Bhaktapur > Sudal, ,07-12-2021,"Rs. 15,00,000"
Land For Sale At Sunakothi Lalitpur.,Lalitpur > Sunakothi  ,  Land Size (in aana/dhur): 7-1,02-12-2021,"Rs. 20,00,000"
Land At Changathali Bus Park Area,Lalitpur > Changathali (Mahalaxmi)  ,  Land Size (in aana/dhur): 4.87,01-12-2021,"Rs. 33,50,000"
Land For Sale In Budhanilkantha,Kathmandu > Narayanthan (Budhanilkantha), ,16-11-2021,"Rs. 40,00,000"
"Land In Attarkhel,medical College",Kathmandu > Gokarna (Gokarneshwar)  ,  Land Size (in aana/dhur): 7,15-11-2021,"Rs. 33,00,000"
Land Sale At Sitapaila,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 4,09-11-2021,"Rs. 51,00,000"
Commercial Land At Bode Thimi - Near Bode Planning To Duwakot Road,Bhaktapur > Bode  ,  Land Size (in aana/dhur): 10.1,19-08-2021,"Rs. 28,00,000"
12 Katta Land For Sell Urgent,Chitwan > Khairahani, ,13-06-2021,"Rs. 8,50,000"
Landcrusier Prado Fj150 2010 To 2018 Conversion,, ,23-07-2019,"Rs. 4,75,000"
Land For Sale,Morang (Biratnagar) > Katahari, ,03-12-2021,"Rs. 1,10,00,000"
Land At Sanobharyang,Kathmandu > Sano Bharyang  ,  Land Size (in aana/dhur): 4.5,19-11-2021,"Rs. 65,00,000"
Valuable Land For Sale,Kavrepalanchok > Kavrepalanchok (Other Area), ,10-10-2021,"Rs. 62,500"
Land On Sale In Okharpauwa,Nuwakot > Nuwakot (Other Area)  ,  Land Size (in aana/dhur): 37,26-08-2021,"Rs. 18,00,000"
Kapan Saraswatinagar Milanchowk Bhirkutichowk Juction Land For Sale,Kathmandu > Kapan  ,  Land Size (in aana/dhur): 6.3,25-12-2021,"Rs. 67,00,000"
4.3 Aana Land House For Sale At Budhanilkantha Basbari,Kathmandu > Bansbari  ,  Land Size (in aana/dhur): 4.3,19-12-2021,"Rs. 3,20,00,000"
"Residential Land On Sale At Guhyeshwari, Kathmandu.",Kathmandu > Guheshwori Pashupatinath  ,  Land Size (in aana/dhur): 8 A,16-12-2021,"Rs. 37,00,000"
Land In Hetauda,Makwanpur (Hetauda) > Buspark Hetauda  ,  Land Size (in aana/dhur): 10,11-12-2021,"Rs. 12,00,000"
"Land On Sale At Imadol, Lalitpur (s.n. 3309)",Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 4.2,09-12-2021,"Rs. 32,00,000"
Land At Biratnagar For Investment,Morang (Biratnagar) > Biratnagar (Other Area), ,08-12-2021,"Rs. 4,00,000"
"3 Ropani Land For Rent At Imadole, Mahalaxmi Municipality",Lalitpur > Imadol (Mahalaxmi), ,05-12-2021,"Rs. 1,20,000"
"Land On Sale At Ramkot Dadapauwa, Nearby Ramkot Health Post.",Kathmandu > Ramkot (Nagarjun)  ,  Land Size (in aana/dhur): 28,05-12-2021,"Rs. 19,50,000"
Very Nice 5.5 Ropani Land On Sale Sitapaila Bat 20 Km Far,Nuwakot > Nuwakot (Other Area), ,02-12-2021,"Rs. 3,00,000"
Timberland Hiking Shoes,, ,23-11-2021,"Rs. 12,000"
For Rent Commercial Land,Lalitpur > Pulchowk  ,  Land Size (in aana/dhur): .50,17-11-2021,"Rs. 15,000"
9.5 Dhur Land In Hetauda,Makwanpur (Hetauda) > Hetauda (Other Area)  ,  Land Size (in aana/dhur): 9.5,31-10-2021,"Rs. 1,05,500"
"Attractive Land On Sale In Baseni,chitwan",Chitwan (Bharatpur) > Baseni  ,  Land Size (in aana/dhur): 22.5,07-10-2021,"Rs. 5,00,000"
Land Available For Sale Or Lease At Prime Location,Kaski (Pokhara) > Airport Pokhara  ,  Land Size (in aana/dhur): 16,02-10-2021,"Rs. 75,00,000"
Land In Bhaisi Pati Chunikhel,Lalitpur > Bhaisepati / Sainbu, ,01-10-2021,"Rs. 1,25,00,000"
Chunikhel Land For Sale,Kathmandu > Chunikhel (Budhanilkantha), ,13-09-2021,"Rs. 22,00,000"
4 Ana Land For Sale At Budhanilkantha Pasikot,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 4,28-08-2021,"Rs. 40,00,000"
Land On Sale -thankot,Kathmandu > Chandragiri, ,11-08-2021,"Rs. 22,50,000"
Land For Sale In Sitapila,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 13.5,04-01-2022,"Rs. 43,00,000"
8 Aana Land Residential Land On Chapali.,Kathmandu > Chapali (Budhanilkantha)  ,  Land Size (in aana/dhur): 8,26-12-2021,"Rs. 43,00,000"
Land Need,Nuwakot > Nuwakot (Other Area), ,23-12-2021,"Rs. 5,00,000"
Land For Sale At Budhanagar,Kathmandu > Buddha Nagar (New Baneshwar)  ,  Land Size (in aana/dhur): 8,07-12-2021,"Rs. 85,00,000"
Sale Land,Lalitpur > Bhaisepati / Sainbu  ,  Land Size (in aana/dhur): 4.1,04-12-2021,"Rs. 51,00,000"
Land For Sale,Jhapa > Jhapa (Other Area)  ,  Land Size (in aana/dhur): 40,20-11-2021,"Rs. 1,00,000"
Harisiddhi Land On Sale,Lalitpur > Harisiddhi  ,  Land Size (in aana/dhur): 3,24-10-2021,"Rs. 30,00,000"
Land For Sale - Bhaktapur / Siddhiganesh / Dhunsepakha,Bhaktapur > Sano Thimi  ,  Land Size (in aana/dhur): 5,18-10-2021,"Rs. 40,00,000"
"Land For Sale In Damak, Jhapa Near Lifeline Hospital",Jhapa > Damak  ,  Land Size (in aana/dhur): 5.5,03-08-2021,"Rs. 3,80,000"
Hetauda Main Bazar Plotted Land For Quick Sale,Makwanpur (Hetauda) > Chaukitol  ,  Land Size (in aana/dhur): 10,16-07-2021,"Rs. 10,00,000"
Residential Land For Sale At Sitapila Kathmandu,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 5.1,10-07-2021,"Rs. 25,00,000"
"10 Dhur Land Sale In Khetrapur, Chitwan",Chitwan (Bharatpur) > Kshetrapur  ,  Land Size (in aana/dhur): 10,29-12-2021,"Rs. 12,00,000"
6 Aana Land For Sale In Lalitpur Dhobighat,Lalitpur > Dhobighat, ,24-12-2021,"Rs. 47,00,000"
Suryabinayak 4 Aana Land On Sale,Bhaktapur > Sipadol (Suryabinayak)  ,  Land Size (in aana/dhur): 4,23-12-2021,"Rs. 35,00,000"
Land At Satungal Near Bishnudevi Temple,Kathmandu > Kirtipur (Kritipur)  ,  Land Size (in aana/dhur): 4,15-12-2021,"Rs. 25,00,000"
Land On Sale At Dholahitiii,Lalitpur > Dholahiti, ,14-12-2021,"Rs. 63,00,000"
Land On Sale Located In Vip Area,Kathmandu > Budhanilkantha  ,  Land Size (in aana/dhur): 12,12-12-2021,"Rs. 40,00,000"
Land For Sale,Kathmandu > Sinamangal  ,  Land Size (in aana/dhur): 3.5,01-12-2021,"Rs. 70,00,000"
Land On Sale,Kathmandu > Bhangal (Budhanilkantha)  ,  Land Size (in aana/dhur): 4.1,01-12-2021,"Rs. 36,00,000"
Commercial Land,Kathmandu > Basundhara  ,  Land Size (in aana/dhur): 5.5,29-11-2021,"Rs. 60,00,000"
Land For Sale At Shankarnagar,Rupandehi > Tilottama  ,  Land Size (in aana/dhur): 11.5,22-11-2021,"Rs. 12,00,000"
Land For Sale Near Hulaki Marga Dharan-17,Sunsari (Dharan) > Railway Chowk  ,  Land Size (in aana/dhur): 29,11-04-2021,"Rs. 1,50,000"
0-6-3-0 Beautiful Land For Sale At Bagdol,Lalitpur > Bagdol, ,28-12-2021,"Rs. 45,00,000"
"Land For Sale At Kuleshwor,",Kathmandu > Kuleshwor  ,  Land Size (in aana/dhur): 6,26-12-2021,"Rs. 65,00,000"
"Land For Sale At Thecho, Behind Civil Homes Phase 3. (only Buyers)",Lalitpur > Thecho (Bajrabarahi)  ,  Land Size (in aana/dhur): 6,09-12-2021,"Rs. 40,00,000"
Land For Lease At Naikap Naya Bhanjyang,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 10,08-12-2021,"Rs. 10,000"
Land Sale At Near To Balaju,Kathmandu > Dharmasthali (Tarkeshwar)  ,  Land Size (in aana/dhur): 3.1,08-12-2021,"Rs. 25,00,000"
"10 Dhur Land Sale At Shankarnagar, Butwal",Rupandehi > Tilottama  ,  Land Size (in aana/dhur): 10,06-12-2021,"Rs. 8,00,000"
Land For Sale,Kathmandu > Sankhu (Shankharapur)  ,  Land Size (in aana/dhur): 4,17-11-2021,"Rs. 15,00,000"
Land On Sale Near Kalanki ( Jagga Bikri Ma),Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 6.5,16-11-2021,"Rs. 35,00,000"
Land On Rent,Kathmandu > Alapot (Kageshwor)  ,  Land Size (in aana/dhur): 80,15-11-2021,"Rs. 2,00,000"
6 Ana Land For Sale At Panitanki Chabahil,Kathmandu > Chabahil  ,  Land Size (in aana/dhur): 6,02-09-2021,"Rs. 51,00,000"
Land On Rent At Sundarijal,Kathmandu > Sundarijal (Gokarneshwar)  ,  Land Size (in aana/dhur): 8ana,04-02-2021,"Rs. 7,00,070"
Shutter Vadama Upalandha Xa.,Lalitpur > Nakhudole (Bhaisepati), ,03-01-2022,"Rs. 24,000"
Land For Sale At Sunakothi,Lalitpur > Sunakothi, ,31-12-2021,"Rs. 32,00,000"
Prime Located Land On Lease/rent #kalanki #perfect Size,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 4.7,28-12-2021,"Rs. 50,000"
Land Sale For Ochhu Hite,Lalitpur > Imadol (Mahalaxmi)  ,  Land Size (in aana/dhur): 12,28-12-2021,"Rs. 36,50,000"
Land On Sale Manbhaban,Lalitpur > Manbhawan (Kumaripati)  ,  Land Size (in aana/dhur): 11,26-12-2021,"Rs. 85,00,000"
Land On Sale At Champi,Lalitpur > Champi (Karyabinayak), ,11-12-2021,"Rs. 21,00,000"
"East Faced 6 Aana Land On Sale At Nakkhu, Bhaisepati",Lalitpur > Nakhu  ,  Land Size (in aana/dhur): 6,30-11-2021,"Rs. 43,00,000"
Land On Sale At Kalikanagar In Butwal,Rupandehi (Butwal) > Kalika Nagar  ,  Land Size (in aana/dhur): 10,27-11-2021,"Rs. 22,50,000"
Land Sale At Kavrasthali,Kathmandu > Kavresthali (Tarkeshwar)  ,  Land Size (in aana/dhur): 5-3,22-11-2021,"Rs. 26,00,000"
Bhaktapur Sarswatikhel Land Sale,Bhaktapur > Saraswotikhel  ,  Land Size (in aana/dhur): 3.5,21-11-2021,"Rs. 22,00,000"
Ghar Bikrima - House For Sale - 5.1 Aana Land,Kathmandu > Sitapaila (Nagarjun)  ,  Land Size (in aana/dhur): 5.1,17-10-2021,"Rs. 3,15,00,000"
Land On Sale Nearby Kalanki.,Kathmandu > Kalanki  ,  Land Size (in aana/dhur): 9,23-09-2021,"Rs. 25,50,000"
5 Ana Land For Sale At Budhanilkantha Pasikot,Kathmandu > Pasikot (Budhanilkantha)  ,  Land Size (in aana/dhur): 5,07-09-2021,"Rs. 36,00,000"
Timberland Boot,, ,15-02-2021,"Rs. 6,999"
"Land For Sale, 7.3 Aana",Kathmandu > Kalanki, ,06-01-2022,"Rs. 60,00,000"
Land For Sale In Kavresthali,Kathmandu > Kavresthali (Tarkeshwar), ,06-01-2022,"Rs. 28,00,000"
22 Ana Land Sell On Baluwatar,Kathmandu > Baluwatar  ,  Land Size (in aana/dhur): 22,05-01-2022,"Rs. 65,00,000"
20 Ropani Land On Sale At Near Lubhu- Lamatar Road,Lalitpur > Lamatar (Mahalaxmi)  ,  Land Size (in aana/dhur): 320,03-01-2022,"Rs. 9,00,000"
3.5 Aana Land Sell Bajrabarai Mandir,Lalitpur > Chapagaun (Bajrabarahi)  ,  Land Size (in aana/dhur): 3.5,02-01-2022,"Rs. 19,50,000"
Land On Sale,Bhaktapur > Tathali  ,  Land Size (in aana/dhur): 65,16-12-2021,"Rs. 15,00,000"
Land For Sale,Lalitpur > Thecho (Bajrabarahi)  ,  Land Size (in aana/dhur): 0-7-,07-12-2021,"Rs. 28,00,000"
"Land For Sale In Katunje, Near Teendhara",Bhaktapur > Katunje (Suryabinayak)  ,  Land Size (in aana/dhur): 7.3,25-11-2021,"Rs. 26,00,000"
Rent 12 Aana Land In Manamaiju Indrayeni Bridge,Kathmandu > Manamaiju (Tarkeshwar)  ,  Land Size (in aana/dhur): 12,15-11-2021,"Rs. 20,000"
3 Ana Land For Sale - Tarkeshwor 1,Kathmandu > Sangla (Tarkeshwar)  ,  Land Size (in aana/dhur): 3,15-11-2021,"Rs. 21,00,000"
Land In Pokhara,Kaski (Pokhara) > Lakeside  ,  Land Size (in aana/dhur): 16,07-11-2021,"Rs. 15,00,000"
Sale For Land,Lalitpur > Jharuwarasi (Bajrabarahi)  ,  Land Size (in aana/dhur): 17.5,28-10-2021,"Rs. 10,00,000"
Lazimpat Land For Sale,Kathmandu > Lazimpat  ,  Land Size (in aana/dhur): 8.25,30-09-2021,"Rs. 65,00,000"
Land For Rent At Chamati,Kathmandu > Banasthali  ,  Land Size (in aana/dhur): 4,24-12-2021,"Rs. 20,000"
Gitanagar Land On Sale,Chitwan (Bharatpur) > Geeta Nagar, ,19-12-2021,"Rs. 26,00,000"
Land On Sale At Bhairawa,Rupandehi (Bhairahawa) > Devkota Chowk  ,  Land Size (in aana/dhur): 4big,16-12-2021,"Rs. 27,00,000"
